"source","filename","time2scrape"
"netlib","45","0.72"
"dmccooey","SelfDualOctahedron6.txt","0.722"
"dmccooey","SimplestC3v_1.txt","0.722"
"dmccooey","BiscribedTetrakisLsnubCube.txt","0.725"
"dmccooey","SimplestD8h_2.txt","0.726"
"dmccooey","MedialDeltoidalHexecontahedron.txt","0.728"
"netlib","90","0.73"
"dmccooey","RectifiedRhombicuboctahedron.txt","0.731"
"dmccooey","GreatDodecicosacron.txt","0.733"
"dmccooey","SelfDualHendecahedron25.txt","0.733"
"dmccooey","Cairo16A.txt","0.734"
"dmccooey","SelfDualTridecahedron1.txt","0.734"
"netlib","75","0.735"
"dmccooey","GreatDitrigonalDodecicosidodecahedron.txt","0.739"
"dmccooey","OrthotruncatedPropelloIcosahedron.txt","0.739"
"dmccooey","SelfDualHexadecahedron20.txt","0.739"
"netlib","81","0.741"
"dmccooey","SimplestD3h_2.txt","0.742"
"dmccooey","PropelloCube.txt","0.747"
"dmccooey","SelfDualTetradecahedron185.txt","0.748"
"dmccooey","TriangularDipyramid.txt","0.75"
"netlib","34","0.751"
"netlib","141","0.752"
"netlib","24","0.753"
"dmccooey","SelfDualDecahedron2.txt","0.755"
"dmccooey","SelfDualHexadecahedron1143.txt","0.756"
"dmccooey","Cairo16B1.txt","0.757"
"dmccooey","PentagrammicConcaveTrapezohedron.txt","0.757"
"dmccooey","MedialTriambicIcosahedron.txt","0.759"
"netlib","121","0.76"
"dmccooey","ChamferedTetrahedron1.txt","0.761"
"dmccooey","SelfDualTetracontahedron3.txt","0.761"
"netlib","66","0.764"
"dmccooey","SelfDualDodecahedron51.txt","0.769"
"netlib","98","0.77"
"dmccooey","GeodesicCube6.txt","0.772"
"dmccooey","GyrateDeltoidalIcositetrahedron.txt","0.773"
"dmccooey","JoinedTruncatedCuboctahedron.txt","0.773"
"dmccooey","RegularHexagonalToroid15A_Knot2.txt","0.773"
"netlib","58","0.774"
"dmccooey","HeptagonalIrisToroid.txt","0.775"
"netlib","46","0.777"
"dmccooey","Cairo16C6.txt","0.779"
"dmccooey","GreatIcosihemidodecahedron.txt","0.779"
"dmccooey","CanonicalTruncatedTruncatedIcosahedron.txt","0.78"
"dmccooey","SimplestC4_1.txt","0.781"
"netlib","116","0.782"
"dmccooey","TetragonalTrapezohedron.txt","0.783"
"dmccooey","TriangularPrism.txt","0.783"
"netlib","105","0.784"
"dmccooey","SimplestD3v_1.txt","0.785"
"dmccooey","GeodesicCube8.txt","0.786"
"dmccooey","SelfDualPentadecahedron5.txt","0.787"
"dmccooey","SimplestD9h_1.txt","0.788"
"dmccooey","HexagonalAntiprismTrapezohedronToroid.txt","0.791"
"dmccooey","SelfDualHendecahedron29.txt","0.793"
"dmccooey","DisdyakisDodecahedron.txt","0.795"
"netlib","7","0.798"
"dmccooey","SelfDualPentadecahedron1.txt","0.799"
"dmccooey","SelfDualTridecahedron10.txt","0.799"
"dmccooey","Cairo8_1.txt","0.8"
